Shipment_ID,Region,Transport_Mode,Shipment_Volume,Distance_km,Delivery_Time_days,Transport_Cost,Delay_days,On_Time
S001,East,Road,384,125,3.45,5965.69,2.9,0
S002,West,Road,499,314,19.13,7208.86,1.4,0
S003,North,Road,391,504,12.52,4869.98,2.8,0
S004,East,Road,369,767,5.34,11340.34,3.3,0
S005,East,Air,66,784,13.76,7789.45,4.1,0
S006,West,Road,374,1457,12.74,3867.08,1.0,1
S007,North,Road,330,900,7.81,13543.83,0.1,1
S008,North,Rail,443,1440,3.16,6066.42,0.7,1
S009,East,Road,327,193,13.76,8381.52,4.5,0
S010,South,Road,163,934,10.89,13643.85,4.4,0
S011,East,Road,288,1142,15.67,9551.45,3.0,0
S012,East,Road,389,1172,10.88,2195.02,3.0,0
S013,East,Air,143,445,17.19,14127.57,3.3,0
S014,East,Rail,125,1098,11.49,9601.77,0.9,1
S015,West,Road,177,997,11.66,5356.13,4.6,0
S016,North,Air,166,940,17.66,2519.45,2.1,0
S017,West,Rail,164,1224,8.67,12013.37,1.9,0
S018,West,Road,139,1217,3.55,9491.05,2.6,0
S019,West,Air,338,618,1.55,8235.19,0.2,1
S020,East,Road,294,1112,15.35,13461.44,0.8,1
S021,South,Rail,111,158,12.79,11934.66,3.7,0
S022,North,Air,77,1115,14.38,2699.29,0.4,1
S023,South,Road,458,1259,5.05,5019.97,3.0,0
S024,West,Road,365,984,3.59,4103.09,1.2,0
S025,West,Road,248,447,1.28,11287.22,1.9,0
S026,South,Road,493,1296,7.66,986.22,1.4,0
S027,South,Rail,136,683,12.21,8763.4,1.8,0
S028,South,Air,337,1206,8.45,11555.65,3.6,0
S029,West,Road,298,1236,9.31,13213.1,1.5,0
S030,West,Road,146,1288,18.18,5460.19,2.8,0
S031,North,Road,412,782,7.62,12408.23,2.4,0
S032,North,Road,415,284,10.77,2104.16,3.3,0
S033,West,Road,148,707,15.89,12773.56,4.7,0
S034,South,Road,77,800,8.53,2348.59,3.7,0
S035,South,Air,141,637,12.82,6260.67,1.1,0
S036,North,Road,20,1082,17.38,12060.78,0.2,1
S037,West,Road,258,1147,19.04,2673.8,1.3,0
S038,North,Rail,309,1003,3.79,3824.15,3.0,0
S039,North,Road,115,541,18.61,10972.66,0.3,1
S040,East,Air,145,962,10.35,10940.53,2.5,0
S041,East,Air,137,1326,5.91,9796.64,3.0,0
S042,East,Road,67,1303,9.72,10562.25,1.7,0
S043,South,Road,108,1247,19.62,8369.5,3.9,0
S044,West,Road,256,1241,10.36,4151.09,0.5,1
S045,West,Road,392,219,7.25,5512.59,0.4,1
S046,West,Road,404,1466,13.03,3133.17,3.6,0
S047,West,Road,291,995,5.56,13672.53,2.5,0
S048,East,Road,208,844,2.44,8959.18,3.4,0
S049,South,Road,211,683,3.45,6312.35,2.2,0
S050,South,Road,466,1267,3.43,7199.08,1.2,0
S051,East,Air,88,78,3.89,14235.61,4.1,0
S052,South,Road,297,1238,3.64,2723.6,4.0,0
S053,East,Road,368,1495,13.18,9000.33,3.5,0
S054,West,Road,266,388,4.46,7835.39,1.4,0
S055,East,Air,470,1438,7.57,9366.09,3.0,0
S056,West,Road,95,1415,18.04,762.6,1.8,0
S057,West,Rail,173,549,10.01,13145.8,0.5,1
S058,North,Rail,163,560,13.68,14015.72,4.6,0
S059,East,Road,454,1400,4.27,8694.43,0.7,1
S060,North,Rail,105,266,4.65,10601.44,4.8,0
S061,East,Road,204,1374,1.78,13876.24,2.2,0
S062,East,Road,304,1205,4.21,10754.96,0.9,1
S063,North,Road,481,1143,6.29,2711.82,2.7,0
S064,North,Road,239,1325,4.36,8856.18,4.4,0
S065,East,Road,88,1488,2.69,9297.37,3.7,0
S066,South,Rail,66,494,3.29,6649.89,4.0,0
S067,West,Road,113,925,9.75,11178.44,3.3,0
S068,North,Road,257,1255,4.92,14048.32,3.5,0
S069,West,Road,465,216,7.92,13920.74,4.2,0
S070,South,Road,472,140,10.56,7037.17,1.2,0
S071,South,Rail,223,763,14.12,2141.95,2.4,0
S072,South,Road,419,88,1.75,14780.2,1.1,0
S073,North,Road,237,1199,16.19,12664.02,4.9,0
